date,USA actual,USA noPolicy,USA violent length five,USA violent length fifteen,USA violent length twentyFive,USA violent length fifty,USA violent new five,USA violent new fifteen,USA violent new twentyFive,USA violent new fifty,USA drug length five,USA drug length fifteen,USA drug length twentyFive,USA drug length fifty,USA drug length five,USA drug length fifteen,USA drug length twentyFive,USA drug length fifty,USA weapon length five,USA weapon length fifteen,USA weapon length twentyFive,USA weapon length fifty,USA weapon new five,USA weapon new fifteen,USA weapon new twentyFive,USA weapon new fifty,USA immigration length five,USA immigration length fifteen,USA immigration length twentyFive,USA immigration length fifty,USA immigration new five,USA immigration new fifteen,USA immigration new twentyFive,USA immigration new fifty,USA revocation length five,USA revocation length fifteen,USA revocation length twentyFive,USA revocation length fifty,USA revocation new five,USA revocation new fifteen,USA revocation new twentyFive,USA revocation new fifty,USA sex length five,USA sex length fifteen,USA sex length twentyFive,USA sex length fifty,USA sex new five,USA sex new fifteen,USA sex new twentyFive,USA sex new fifty,USA fraud length five,USA fraud length fifteen,USA fraud length twentyFive,USA fraud length fifty,USA fraud new five,USA fraud new fifteen,USA fraud new twentyFive,USA fraud new fifty,USA all length five,USA all length fifteen,USA all length twentyFive,USA all length fifty,USA all new five,USA all new fifteen,USA all new twentyFive,USA all new fifty
09/01/2008,201668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/01/2009,208759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/01/2010,210227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/01/2011,217768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/01/2012,218687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/01/2013,219298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/01/2014,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149,214149
09/01/2015,0,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307,206307
09/01/2016,0,194436,194426,194397,194349,194171,194370,194227,194052,193736,194183,193649,192973,190127,193578,191820,190062,185563,194393,194266,194084,193298,194113,193540,192902,191312,194064,193152,192086,188946,193868,192850,191702,188991,194165,193619,193040,191274,194120,193596,192942,191494,194432,194411,194391,194285,194313,194068,193789,193223,194346,194169,193955,193112,194217,193824,193301,192321,193276,190695,187591,176960,191726,186459,180944,167377
09/01/2017,0,194947,194926,194841,194696,194212,194809,194546,194227,193614,194289,192637,190740,184225,193361,190340,187057,179049,194767,194369,193852,191748,194354,193232,192079,189170,194257,192589,190743,185873,194192,192714,191146,187262,194554,193763,192980,190905,194578,193896,193152,191430,194916,194847,194772,194405,194718,194239,193723,192553,194706,194227,193687,192105,194591,193962,193123,191602,192513,186856,180419,160694,190674,181835,173014,151238
